Performance on model slices for education:

               precision    recall        f1
10th           0.125000  0.083333  0.100000
11th           0.750000  0.545455  0.631579
12th           0.272727  0.600000  0.375000
1st-4th        1.000000  1.000000  1.000000
5th-6th        1.000000  0.250000  0.400000
7th-8th        0.066667  0.166667  0.095238
9th            0.500000  0.666667  0.571429
Assoc-acdm     0.600000  0.765957  0.672897
Assoc-voc      0.541667  0.619048  0.577778
Bachelors      0.719439  0.797778  0.756586
Doctorate      0.812500  0.912281  0.859504
HS-grad        0.608333  0.423188  0.499145
Masters        0.788136  0.898551  0.839729
Preschool      1.000000  1.000000  1.000000
Prof-school    0.835165  0.904762  0.868571
Some-college   0.607509  0.642599  0.624561
